INSPECTION_TYPE,BORO_CODE,STREET_NAME,ZIP_CODE,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT
Compliance,3,SKILLMAN AVENUE,11211,40.71536321,-73.95046104,Brooklyn,2023-04-03 15:55:00,Passed
Initial,3,ST JOHNS PLACE,11213,40.67140087,-73.94591919,Brooklyn,2023-05-31 10:24:00,Passed
Initial,3,CLASSON AVENUE,11238,40.68036225,-73.95830724,Brooklyn,2023-04-19 12:57:00,Rat Activity
Initial,3,BEDFORD AVENUE,11216,40.67513982,-73.95344001,Brooklyn,2023-04-25 13:45:00,Passed
Compliance,2,WEST MOSHOLU PARKWAY SOUTH,10468,40.87954368,-73.8857884,Bronx,2023-11-30 12:15:00,Rat Activity
Initial,2,FINDLAY AVENUE,10456,40.83589414,-73.91049928,Bronx,2023-05-01 14:10:00,Passed
Initial,1,WEST 49 STREET,10019,40.76197381,-73.98734394,Manhattan,2023-06-29 11:46:00,Passed
Initial,2,ASTOR AVENUE,10469,40.8597821,-73.85245092,Bronx,2023-02-13 08:25:00,Passed
Initial,3,LAFAYETTE AVENUE,11205,40.68962125,-73.95344068,Brooklyn,2023-12-07 08:28:00,Passed
Initial,1,EAST    2 STREET,10003,40.72533984,-73.99131955,Manhattan,2023-10-30 08:58:00,Rat Activity
Initial,1,MANHATTAN AVENUE,10027,40.80924079,-73.95373237,Manhattan,2023-02-03 10:58:00,Rat Activity
Initial,2,EAST 241 STREET,10470,40.90176942,-73.86696101,Bronx,2023-03-24 11:10:00,Passed
Compliance,2,WASHINGTON AVENUE,10458,40.85604424,-73.89244428,Bronx,2023-08-16 08:50:00,Rat Activity
Initial,4,41 STREET,11103,40.7671662,-73.91123099,Queens,2023-08-02 10:52:00,Passed
Initial,3,HART STREET,11237,40.70211523,-73.92256685,Brooklyn,2023-12-13 08:42:00,Passed
Initial,3,CEDAR STREET,11221,40.69738345,-73.92706584,Brooklyn,2023-12-12 14:00:00,Passed
Initial,3,PULASKI STREET,11206,40.69254198,-73.94773385,Brooklyn,2023-10-31 16:08:00,Rat Activity
Initial,2,SELWYN AVENUE,10457,40.84083178,-73.91030829,Bronx,2023-10-30 10:55:00,Rat Activity
Compliance,1,WEST 74 STREET,10023,40.77817165,-73.97651234,Manhattan,2023-07-14 14:16:00,Passed
Initial,3,DECATUR STREET,11233,40.68316512,-73.91833079,Brooklyn,2023-05-29 09:50:00,Passed
Initial,3,VAN BUREN STREET,11221,40.69030445,-73.94097449,Brooklyn,2023-11-06 09:56:00,Passed
Initial,3,MAC DONOUGH STREET,11216,40.68081244,-73.94534908,Brooklyn,2023-06-23 14:57:00,Rat Activity
Compliance,2,EAST 187 STREET,10458,40.8587079,-73.89381008,Bronx,2023-11-13 12:05:00,Failed for Other R
Initial,3,MONROE STREET,11216,40.6856777,-73.94862985,Brooklyn,2023-08-08 11:56:00,Failed for Other R
Initial,4,14 STREET,11102,40.76865414,-73.93170962,Queens,2023-08-24 14:43:00,Rat Activity
Initial,2,COLLEGE AVENUE,10456,40.83103617,-73.91438322,Bronx,2023-12-06 14:16:00,Rat Activity
Compliance,1,1 AVENUE,10028,40.77697439,-73.94931017,Manhattan,2023-12-07 16:19:00,Passed
Initial,3,GREENE AVENUE,11216,40.68883903,-73.94719949,Brooklyn,2023-12-13 14:38:00,Passed
Initial,1,WEST 101 STREET,10025,40.7951444,-73.96304577,Manhattan,2023-08-28 13:15:00,Passed
Compliance,3,WILSON AVENUE,11237,40.70062132,-73.92556919,Brooklyn,2023-04-27 14:01:00,Passed
Initial,3,PACIFIC STREET,11216,40.67744764,-73.94597555,Brooklyn,2023-07-06 11:17:00,Passed
Initial,4,LINDEN BOULEVARD,11436,40.68364843,-73.80325463,Queens,2023-09-15 14:05:00,Failed for Other R
Initial,2,EAST 187 STREET,10458,40.85513573,-73.88672697,Bronx,2023-06-14 14:02:00,Passed
Initial,2,CRESTON AVENUE,10453,40.85559199,-73.90237523,Bronx,2023-12-04 15:30:00,Rat Activity
Initial,1,LENOX AVENUE,10037,40.81256484,-73.94199276,Manhattan,2023-12-01 14:23:00,Passed
Initial,1,WEST 143 STREET,10030,40.81934208,-73.93764768,Manhattan,2023-05-22 11:55:00,Passed
Initial,2,MATTHEWS AVENUE,10467,40.86811657,-73.86248377,Bronx,2023-03-01 10:05:00,Passed
Compliance,2,GRAND AVENUE,10453,40.85809294,-73.90627581,Bronx,2023-03-22 11:06:00,Rat Activity
Initial,3,IRVING AVENUE,11237,40.69986803,-73.91586147,Brooklyn,2023-10-06 12:31:00,Passed
Compliance,2,LORILLARD PLACE,10458,40.85524892,-73.89023686,Bronx,2023-11-14 16:15:00,Passed
Compliance,1,SIXTH AVENUE,10010,40.74105654,-73.99412144,Manhattan,2023-04-27 12:04:00,Rat Activity
Initial,2,SEDGWICK AVENUE,10468,40.86782374,-73.90717679,Bronx,2023-04-27 14:20:00,Passed
Initial,1,WEST 141 STREET,10031,40.8233504,-73.9510307,Manhattan,2023-10-23 14:54:00,Passed
Initial,2,EAST 183 STREET,10453,40.85800949,-73.90166311,Bronx,2023-02-09 14:20:00,Passed
Initial,2,UNIVERSITY AVENUE,10468,40.86567943,-73.90303284,Bronx,2023-06-13 08:05:00,Failed for Other R
Initial,3,KNICKERBOCKER AVENUE,11237,40.70222898,-73.92438804,Brooklyn,2023-12-04 11:30:00,Passed
Initial,1,EAST 118 STREET,10035,40.79981192,-73.94037135,Manhattan,2023-04-18 08:43:00,Rat Activity
Initial,2,SHERMAN AVENUE,10456,40.83275045,-73.91650585,Bronx,2023-10-05 12:57:00,Failed for Other R
Initial,1,GRAND STREET,10002,40.71628453,-73.98782161,Manhattan,2023-04-04 15:15:00,Rat Activity
Initial,1,1 AVENUE,10029,40.78872605,-73.940728,Manhattan,2023-11-20 14:45:00,Passed
Initial,1,WEST 174 STREET,10033,40.84392528,-73.9350584,Manhattan,2023-12-28 11:06:00,Passed
Initial,3,GATES AVENUE,11216,40.68641889,-73.94884562,Brooklyn,2023-02-08 10:48:00,Passed
Initial,3,EASTERN PARKWAY,11216,40.66974966,-73.94839344,Brooklyn,2023-06-23 11:17:00,Passed
Initial,2,MACE AVENUE,10469,40.86281738,-73.84587872,Bronx,2023-03-17 09:20:00,Passed
Initial,2,GERARD AVENUE,10452,40.83452386,-73.9208257,Bronx,2023-06-05 11:33:00,Rat Activity
Initial,1,EDGECOMBE AVENUE,10030,40.82273799,-73.94426375,Manhattan,2023-05-18 14:09:00,Passed
Initial,1,ST NICHOLAS AVENUE,10030,40.82290316,-73.94528252,Manhattan,2023-11-15 15:48:00,Passed
Initial,1,1 AVENUE,10029,40.78914584,-73.94042427,Manhattan,2023-06-15 15:14:00,Passed
Initial,3,CENTRAL AVENUE,11206,40.70101955,-73.93032214,Brooklyn,2023-02-23 16:43:00,Passed
Compliance,3,flatlands avenue,11236,40.63614807,-73.91229588,Brooklyn,2023-11-08 10:25:00,Passed
Initial,2,LORING PLACE SOUTH,10453,40.85491259,-73.91432345,Bronx,2023-04-26 13:24:00,Passed
Initial,1,WEST 85 STREET,10024,40.78522998,-73.97134236,Manhattan,2023-08-03 15:23:00,Passed
Compliance,1,HAVEN AVENUE,10032,40.84426413,-73.94256138,Manhattan,2023-09-06 12:40:00,Passed
Initial,1,WEST 121 STREET,10027,40.80847007,-73.95512366,Manhattan,2023-12-06 15:14:00,Passed
Compliance,3,STOCKHOLM STREET,11221,40.69658928,-73.92562059,Brooklyn,2023-12-04 09:56:00,Passed
Initial,1,EAST 103 STREET,10029,40.79018128,-73.94740411,Manhattan,2023-10-13 13:44:00,Passed
Initial,1,EAST 2 STREET,10009,40.72178716,-73.98288895,Manhattan,2023-02-09 12:50:00,Passed
Initial,2,WHITTIER STREET,10474,40.81558668,-73.88388628,Bronx,2023-09-29 09:00:00,Passed
Initial,2,WALTON AVENUE,10452,40.83654499,-73.91833332,Bronx,2023-12-04 13:15:00,Rat Activity
Initial,3,ENGERT AVENUE,11222,40.72160536,-73.94561133,Brooklyn,2023-02-07 13:38:00,Passed
Compliance,3,GREENE AVENUE,11216,40.68776699,-73.95652493,Brooklyn,2023-01-30 13:15:00,Rat Activity
Initial,3,KOSCIUSZKO STREET,11221,40.69215008,-73.93793657,Brooklyn,2023-12-27 09:55:00,Rat Activity
Compliance,3,STOCKHOLM STREET,11221,40.69705561,-73.92518732,Brooklyn,2023-12-13 16:11:00,Rat Activity
Initial,3,UNION STREET,11215,40.6743451,-73.97515028,Brooklyn,2023-11-06 13:45:00,Rat Activity
Initial,1,WEST 139 STREET,10030,40.81709543,-73.940074,Manhattan,2023-08-18 16:20:00,Passed
Initial,1,EAST BROADWAY,10002,40.71360346,-73.99564972,Manhattan,2023-09-13 12:00:00,Failed for Other R
Compliance,3,IMLAY STREET,11231,40.68089641,-74.00988246,Brooklyn,2023-09-26 12:15:00,Passed
Initial,1,WEST 155 STREET,10032,40.83213878,-73.9443751,Manhattan,2023-07-26 09:36:00,Rat Activity
Initial,2,WEST 184 STREET,10468,40.86105253,-73.90388558,Bronx,2023-11-13 14:20:00,Rat Activity
Initial,2,CLINTON AVENUE,10457,40.84867476,-73.88687175,Bronx,2023-09-14 11:58:00,Passed
Initial,3,DEKALB AVENUE,11221,40.69259887,-73.94056136,Brooklyn,2023-06-05 13:47:00,Passed
Initial,2,SELWYN AVENUE,10457,40.84445757,-73.91029977,Bronx,2023-06-21 13:07:00,Rat Activity
Initial,3,VERNON AVENUE,11206,40.69547601,-73.94177408,Brooklyn,2023-07-31 14:32:00,Passed
Initial,3,LAFAYETTE AVENUE,11221,40.69076143,-73.94366052,Brooklyn,2023-07-24 14:40:00,Passed
Initial,4,ST FELIX AVENUE,11385,40.69601399,-73.89844819,Queens,2023-10-06 14:55:00,Passed
Compliance,3,GREENE AVENUE,11221,40.68993218,-73.93770786,Brooklyn,2023-12-21 15:12:00,Rat Activity
Initial,1,EAST 84 STREET,10028,40.77729495,-73.95448761,Manhattan,2023-10-16 15:37:00,Passed
Initial,3,FULTON STREET,11238,40.68160553,-73.9580036,Brooklyn,2023-10-18 14:36:00,Passed
Initial,1,WEST 174 STREET,10033,40.84433752,-73.93600856,Manhattan,2023-12-28 16:23:00,Passed
Initial,1,MULBERRY STREET,10013,40.71751208,-73.99831534,Manhattan,2023-09-14 15:42:00,Passed
Initial,2,STORY AVENUE,10473,40.82561558,-73.84823799,Bronx,2023-04-26 09:45:00,Passed
Initial,3,MONROE STREET,11216,40.68563396,-73.9490157,Brooklyn,2023-08-08 11:11:00,Passed
Initial,1,WEST 163 STREET,10032,40.83882783,-73.94462608,Manhattan,2023-07-28 10:11:00,Failed for Other R
Initial,4,146 PLACE,11357,40.78822138,-73.81993903,Queens,2023-09-28 08:00:00,Passed
Compliance,1,YORK AVENUE,10128,40.77929431,-73.94467939,Manhattan,2023-12-14 08:00:00,Rat Activity
Initial,1,WEST 144 STREET,10030,40.8214022,-73.940594,Manhattan,2023-09-08 15:31:00,Passed
Initial,1,BOWERY,10002,40.72274066,-73.9931057,Manhattan,2023-10-11 14:55:00,Passed
Initial,1,1 AVENUE,10035,40.80138244,-73.93148448,Manhattan,2023-12-20 13:07:00,Rat Activity
Initial,1,BROADWAY,10033,40.84657302,-73.93834494,Manhattan,2023-07-31 09:09:00,Rat Activity
Initial,3,WARWICK STREET,11207,40.66881395,-73.8846871,Brooklyn,2023-11-02 14:15:00,Passed
Initial,1,WEST 138 STREET,10031,40.82225382,-73.95421828,Manhattan,2023-12-27 14:05:00,Passed
Initial,3,DEKALB AVENUE,11221,40.69341565,-73.93346021,Brooklyn,2023-10-03 11:50:00,Passed
Initial,1,WEST 116 STREET,10026,40.80091311,-73.94708858,Manhattan,2023-04-05 13:21:00,Rat Activity
Initial,3,MELROSE STREET,11237,40.70319231,-73.92853457,Brooklyn,2023-10-16 14:57:00,Passed
Initial,3,NEW YORK AVENUE,11216,40.67396789,-73.94731946,Brooklyn,2023-09-11 08:09:00,Passed
Initial,4,WEIRFIELD STREET,11385,40.6978175,-73.90508831,Queens,2023-07-24 16:13:00,Passed
Initial,1,MADISON AVENUE,10029,40.79583293,-73.94786553,Manhattan,2023-08-24 13:30:00,Rat Activity
Initial,3,JEFFERSON STREET,11206,40.69771182,-73.93450174,Brooklyn,2023-11-17 10:37:00,Rat Activity
Compliance,1,POST AVENUE,10034,40.8632028,-73.9237054,Manhattan,2023-01-03 12:50:00,Rat Activity
Initial,1,WEST 70 STREET,10023,40.77562218,-73.97858571,Manhattan,2023-08-01 09:57:00,Passed
Compliance,3,WYCKOFF AVENUE,11237,40.70558926,-73.92130764,Brooklyn,2023-09-19 15:20:00,Rat Activity
Initial,1,WEST 84 STREET,10024,40.78810284,-73.98008396,Manhattan,2023-09-06 12:18:00,Passed
