MONTH,BOROUGH,BOROUGH_ID,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS
2023-01-01,Brooklyn,3.0,2885.1,284.7,232.6,
2023-01-01,Brooklyn,3.0,4385.2,256.9,435.0,
2023-01-01,Bronx,2.0,2851.8,274.9,340.5,
2023-01-01,Bronx,2.0,2444.5,292.8,338.3,
2023-01-01,Manhattan,1.0,2554.2,248.7,231.3,
2023-01-01,Brooklyn,3.0,3092.7,410.9,398.8,46.2
2023-01-01,Queens,4.0,3458.5,358.6,511.3,
2023-01-01,Queens,4.0,4717.2,436.8,801.1,
2023-01-01,Manhattan,1.0,2097.4,225.6,236.4,
2023-01-01,Manhattan,1.0,4305.5,953.4,727.9,48.7
2023-01-01,Brooklyn,3.0,2136.6,526.3,403.9,104.8
2023-01-01,Brooklyn,3.0,5014.6,583.7,544.2,
2023-01-01,Brooklyn,3.0,4244.0,483.6,341.6,
2023-01-01,Manhattan,1.0,4853.8,989.6,727.5,
2023-01-01,Brooklyn,3.0,6442.9,741.4,344.0,
2023-01-01,Bronx,2.0,2116.8,139.6,155.0,
2023-01-01,Bronx,2.0,2051.0,137.6,159.4,
2023-01-01,Queens,4.0,3649.3,441.2,520.6,
2023-01-01,Manhattan,1.0,4485.8,405.8,465.7,
2023-01-01,Staten Island,5.0,5084.7,591.6,681.4,
2023-01-01,Queens,4.0,4497.7,352.9,498.3,
2023-01-01,Manhattan,1.0,2387.0,197.2,172.8,
2023-01-01,Brooklyn,3.0,4974.9,532.3,599.4,
2023-01-01,Brooklyn,3.0,1976.8,190.9,242.5,
2023-01-01,Manhattan,1.0,1341.9,352.8,221.8,
2023-01-01,Bronx,2.0,3882.3,275.5,351.3,
2023-01-01,Bronx,2.0,2282.3,147.2,195.1,
2023-01-01,Queens,4.0,2654.8,375.9,375.0,
2023-01-01,Manhattan,1.0,1247.2,260.4,169.2,
2023-01-01,Bronx,2.0,3508.3,290.1,455.6,
2023-01-01,Brooklyn,3.0,4602.9,469.1,435.2,
2023-01-01,Queens,4.0,3441.1,419.1,391.5,
2023-01-01,Queens,4.0,2740.9,464.9,432.8,
2023-01-01,Bronx,2.0,3623.0,336.8,550.2,
2023-01-01,Queens,4.0,4079.6,648.3,634.8,
2023-01-01,Bronx,2.0,3599.7,226.0,363.5,
2023-01-01,Staten Island,5.0,3944.6,508.0,503.7,
2023-01-01,Brooklyn,3.0,2686.8,529.6,394.7,56.1
2023-01-01,Queens,4.0,6169.0,764.6,773.8,
2023-01-01,Queens,4.0,6258.4,485.0,857.7,
